FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,HUNDETRAENKE,SE_ANNO_CAD_DATA
HUNDEZONEOGD.2097838,2097838,POINT (16.328452146675026 48.18993041559886),Dadlerpark,ca. 1861 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097839,2097839,POINT (16.316524671963116 48.18814025241307),Auer-Welsbach-Park,ca. 10187 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097840,2097840,POINT (16.334605180410374 48.178859840759884),PA Vierthalergasse,ca. 710 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097841,2097841,POINT (16.32753614593489 48.1569132857409),PA Lichtensterngasse,ca. 8448 m²,Hundeauslaufplatz,01 4000 8042,teilweise,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097842,2097842,POINT (16.316686095567878 48.17856655977266),PA Steinweisweg,ca. 914 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097843,2097843,POINT (16.374749586432863 48.21551275813963),GA Obere Donaustraße,ca. 3031 m²,Hundeauslaufplatz,,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097844,2097844,POINT (16.372431984410294 48.15901103462478),PA Heuberggstätten,ca. 124634 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097845,2097845,POINT (16.425644699398187 48.17669130308507),PA Lautenschlägergasse,ca. 997 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097846,2097846,POINT (16.28132247160007 48.16551256801287),Andreas-Rett-Park,ca. 498 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097847,2097847,POINT (16.41821770090577 48.16886735394647),PA Haugerstraße,ca. 399 m²,Hundezone,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097848,2097848,POINT (16.510002050889643 48.22581727548759),Seepark,ca. 3390 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097849,2097849,POINT (16.2911275741489 48.13837373222475),PA Gaulgasse,ca. 6485 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
